candidate_formula,prototype_id,substitution,wyckoff_letter,central_species,neighbor_pattern,shell1_count,shell1_species,shell2_count,shell2_species,shell3_count,shell3_species,shell4_count,shell4_species
Fe7Sn6,mp-672392,Dy->Fe,j,Dy,1|1|1|1,1,Sn,4,Sn,3,Fe,4,Fe
Fe7Sn6,mp-672392,Dy->Fe,j,Fe,1|1|1|1,2,Sn,4,Fe,6,Fe,8,Fe
Fe7Sn6,mp-672392,Dy->Fe,j,Sn,1|1|1|1,2,Fe,2,Sn,1,Sn,1,Fe
Co16Si2B5,mp-16085,Nd->Co,d,Nd,1|1|3|1,2,Co,2,Co,6,"B,Co,Si",2,B
Co16Si2B5,mp-16085,Nd->Co,d,Co,1|2|1|1,4,Co,3,"Co,Si",1,Co,1,B
Co16Si2B5,mp-16085,Nd->Co,d,Si,1|1|1|1,4,Co,1,Co,2,Co,1,Nd
Co16Si2B5,mp-16085,Nd->Co,d,B,2|1|2|2,4,"B,Co",5,Co,3,"B,Co",3,"Co,Si"
AlFe19,mp-1211934,La->Fe,l,La,1|1|1|1,2,Fe,1,Fe,1,Al,1,Fe
AlFe19,mp-1211934,La->Fe,l,Al,2|1|1|2,4,"Fe,La",2,Fe,2,Fe,3,"Al,Fe"
AlFe19,mp-1211934,La->Fe,l,Fe,1|1|2|2,1,Fe,1,Fe,2,"Al,Fe",2,"Fe,La"
Mn6AlFe13,mp-1211934,La->Mn,l,La,2|1|1|1,2,"Fe,Mn",1,Mn,1,Al,1,Mn
Mn6AlFe13,mp-1211934,La->Mn,l,Mn,1|1|2|2,1,Mn,1,Mn,2,"Al,Mn",2,"La,Mn"
Mn6AlFe13,mp-1211934,La->Mn,l,Al,2|1|1|2,4,"La,Mn",2,Mn,2,Mn,3,"Al,Mn"
Mn6AlFe13,mp-1211934,La->Mn,l,Fe,2|1|2|2,3,"Fe,Mn",1,Mn,3,"Fe,Mn",3,"La,Mn"
AlCr6Fe13,mp-1211934,La->Cr,l,La,2|1|1|1,2,"Cr,Fe",1,Cr,1,Al,1,Cr
AlCr6Fe13,mp-1211934,La->Cr,l,Al,2|1|1|2,4,"Cr,La",2,Cr,2,Cr,3,"Al,Cr"
AlCr6Fe13,mp-1211934,La->Cr,l,Cr,1|1|2|2,1,Cr,1,Cr,2,"Al,Cr",2,"Cr,La"
AlCr6Fe13,mp-1211934,La->Cr,l,Fe,2|1|2|2,3,"Cr,Fe",1,Cr,3,"Cr,Fe",3,"Cr,La"
Fe19Ag,mp-1197167,Nd->Fe,l,Nd,1|1|2|1,4,Fe,4,Fe,5,"Ag,Fe",4,Fe
Fe19Ag,mp-1197167,Nd->Fe,l,Fe,1|1|2|2,1,Fe,1,Fe,2,"Ag,Fe",2,"Fe,Nd"
Fe19Ag,mp-1197167,Nd->Fe,l,Ag,2|1|1|2,4,"Fe,Nd",2,Fe,2,Fe,3,"Ag,Fe"
Fe13Co6Ag,mp-1197167,Nd->Co,l,Nd,1|1|2|1,4,Fe,4,Co,5,"Ag,Co",4,Co
Fe13Co6Ag,mp-1197167,Nd->Co,l,Fe,2|1|1|1,7,"Co,Fe",2,Co,2,Nd,1,Fe
Fe13Co6Ag,mp-1197167,Nd->Co,l,Co,1|1|2|2,1,Co,1,Co,2,"Ag,Co",2,"Co,Nd"
Fe13Co6Ag,mp-1197167,Nd->Co,l,Ag,2|1|1|2,4,"Co,Nd",2,Co,2,Co,3,"Ag,Co"
Fe13Ni6Ag,mp-1197167,Nd->Ni,l,Nd,1|1|2|1,4,Fe,4,Ni,5,"Ag,Ni",4,Ni
Fe13Ni6Ag,mp-1197167,Nd->Ni,l,Fe,2|1|1|1,7,"Fe,Ni",2,Ni,2,Nd,1,Fe
Fe13Ni6Ag,mp-1197167,Nd->Ni,l,Ni,1|1|2|2,1,Ni,1,Ni,2,"Ag,Ni",2,"Nd,Ni"
Fe13Ni6Ag,mp-1197167,Nd->Ni,l,Ag,2|1|1|2,4,"Nd,Ni",2,Ni,2,Ni,3,"Ag,Ni"
Mn6Fe13Ag,mp-1197167,Nd->Mn,l,Nd,1|1|2|1,4,Fe,4,Mn,5,"Ag,Mn",4,Mn
Mn6Fe13Ag,mp-1197167,Nd->Mn,l,Mn,1|1|2|2,1,Mn,1,Mn,2,"Ag,Mn",2,"Mn,Nd"
Mn6Fe13Ag,mp-1197167,Nd->Mn,l,Fe,2|1|1|1,7,"Fe,Mn",2,Mn,2,Nd,1,Fe
Mn6Fe13Ag,mp-1197167,Nd->Mn,l,Ag,2|1|1|2,4,"Mn,Nd",2,Mn,2,Mn,3,"Ag,Mn"
Cr6Fe13Ag,mp-1197167,Nd->Cr,l,Nd,1|1|2|1,4,Fe,4,Cr,5,"Ag,Cr",4,Cr
Cr6Fe13Ag,mp-1197167,Nd->Cr,l,Cr,1|1|2|2,1,Cr,1,Cr,2,"Ag,Cr",2,"Cr,Nd"
Cr6Fe13Ag,mp-1197167,Nd->Cr,l,Fe,2|1|1|1,7,"Cr,Fe",2,Cr,2,Nd,1,Fe
Cr6Fe13Ag,mp-1197167,Nd->Cr,l,Ag,2|1|1|2,4,"Cr,Nd",2,Cr,2,Cr,3,"Ag,Cr"
CdFe19,mp-1202421,Nd->Fe,l,Nd,1|1|2|1,4,Fe,4,Fe,5,"Cd,Fe",4,Fe
CdFe19,mp-1202421,Nd->Fe,l,Cd,2|1|1|2,4,"Fe,Nd",2,Fe,2,Fe,3,"Cd,Fe"
CdFe19,mp-1202421,Nd->Fe,l,Fe,1|1|2|2,1,Fe,1,Fe,2,"Cd,Fe",2,"Fe,Nd"
CdFe13Co6,mp-1202421,Nd->Co,l,Nd,1|1|2|1,4,Fe,4,Co,5,"Cd,Co",4,Co
CdFe13Co6,mp-1202421,Nd->Co,l,Cd,2|1|1|2,4,"Co,Nd",2,Co,2,Co,3,"Cd,Co"
CdFe13Co6,mp-1202421,Nd->Co,l,Fe,2|1|1|1,5,"Co,Fe",1,Co,1,Nd,1,Fe
CdFe13Co6,mp-1202421,Nd->Co,l,Co,1|1|2|2,1,Co,1,Co,2,"Cd,Co",2,"Co,Nd"
CdFe13Ni6,mp-1202421,Nd->Ni,l,Nd,1|1|2|1,4,Fe,4,Ni,5,"Cd,Ni",4,Ni
CdFe13Ni6,mp-1202421,Nd->Ni,l,Cd,2|1|1|2,4,"Nd,Ni",2,Ni,2,Ni,3,"Cd,Ni"
CdFe13Ni6,mp-1202421,Nd->Ni,l,Fe,2|1|1|1,5,"Fe,Ni",1,Ni,1,Nd,1,Fe
CdFe13Ni6,mp-1202421,Nd->Ni,l,Ni,1|1|2|2,1,Ni,1,Ni,2,"Cd,Ni",2,"Nd,Ni"
Mn6CdFe13,mp-1202421,Nd->Mn,l,Nd,1|1|2|1,4,Fe,4,Mn,5,"Cd,Mn",4,Mn
